Date	Price	Open	High	Low	Change %
2017-07-22	2820.40	2665.90	2869.30	2647.00	5.79
2017-07-21	2665.90	2849.00	2871.90	2610.10	-6.43
2017-07-20	2849.00	2257.90	2953.50	2257.90	26.18
2017-07-19	2257.90	2308.20	2393.20	2216.00	-2.17
2017-07-18	2308.00	2229.50	2390.00	2135.70	3.52
2017-07-17	2229.50	1910.90	2229.50	1910.90	16.68
2017-07-16	1910.90	1965.20	2043.20	1759.20	-2.96
2017-07-15	1969.10	2217.00	2220.20	1969.10	-11.18
2017-07-14	2217.00	2340.00	2349.00	2150.00	-5.16
2017-07-13	2337.50	2386.20	2416.80	2309.90	-2.04
2017-07-12	2386.20	2310.20	2413.60	2250.00	3.29
2017-07-11	2310.20	2333.10	2409.90	2265.90	-0.98
2017-07-10	2333.10	2509.00	2523.00	2252.00	-7.01
2017-07-09	2509.00	2560.10	2579.20	2500.00	-2
2017-07-08	2560.10	2501.80	2562.10	2472.00	2.35
2017-07-07	2501.30	2604.40	2607.10	2472.00	-3.96
2017-07-06	2604.40	2618.50	2622.50	2580.70	-0.46
2017-07-05	2616.50	2605.90	2630.20	2553.90	0.36
2017-07-04	2607.00	2542.40	2636.00	2542.40	2.54
2017-07-03	2542.40	2515.30	2584.60	2479.80	1.16
2017-07-02	2513.30	2423.60	2537.00	2386.70	3.85
2017-07-01	2420.20	2457.50	2512.90	2403.80	-1.52
2017-06-30	2457.50	2534.30	2551.30	2446.20	-3.12
2017-06-29	2536.50	2553.00	2591.70	2512.40	-0.65
2017-06-28	2553.00	2569.10	2605.00	2457.00	-0.63
2017-06-27	2569.10	2407.90	2574.00	2266.20	6.55
2017-06-26	2411.30	2505.50	2561.10	2267.30	-3.55
2017-06-25	2500.00	2574.80	2625.00	2430.10	-2.91
2017-06-24	2575.00	2690.80	2718.30	2503.10	-4.3
2017-06-23	2690.80	2680.00	2737.00	2665.00	0.4
2017-06-22	2679.90	2643.30	2724.70	2598.60	1.38
2017-06-21	2643.30	2725.10	2780.20	2560.00	-3
2017-06-20	2725.10	2597.00	2773.40	2588.90	4.93
2017-06-19	2597.00	2514.20	2597.00	2483.50	3.35
2017-06-18	2512.90	2643.00	2670.00	2456.70	-4.92
2017-06-17	2643.00	2484.30	2678.80	2425.00	6.32
2017-06-16	2486.00	2410.00	2520.20	2290.90	3.16
2017-06-15	2409.90	2433.90	2525.00	2050.20	-0.99
2017-06-14	2433.90	2709.00	2824.60	2330.00	-10.15
2017-06-13	2708.80	2658.80	2796.70	2654.40	2.03
2017-06-12	2655.00	2999.00	3000.00	2472.50	-11.47
2017-06-11	2999.00	2935.00	2999.00	2881.00	2.31
2017-06-10	2931.10	2811.40	2942.00	2801.30	4.26
2017-06-09	2811.40	2799.80	2861.60	2786.20	0.42
2017-06-08	2799.70	2690.00	2808.80	2611.40	4.25
2017-06-07	2685.60	2871.30	2885.00	2598.70	-6.47
2017-06-06	2871.30	2698.00	2938.60	2674.70	6.42
2017-06-05	2698.00	2521.40	2698.00	2517.00	7.01
2017-06-04	2521.40	2548.30	2556.10	2470.00	-1.05
2017-06-03	2548.10	2479.00	2599.00	2448.00	2.79
2017-06-02	2479.00	2420.00	2479.00	2379.40	2.44
2017-06-01	2420.00	2303.60	2488.00	2302.00	5.07
2017-05-31	2303.30	2191.60	2338.90	2173.80	5.1
2017-05-30	2191.60	2279.20	2336.90	2112.30	-3.86
2017-05-29	2279.50	2237.00	2357.90	2141.10	2.09
2017-05-28	2232.80	2100.00	2343.00	2099.90	6.32
2017-05-27	2100.00	2276.50	2353.40	1913.20	-7.6
2017-05-26	2272.70	2362.20	2683.20	2052.00	-3.49
2017-05-25	2355.00	2433.00	2806.00	2226.90	-3.2
2017-05-24	2433.00	2272.70	2474.70	2266.50	7.05
2017-05-23	2272.80	2123.30	2283.00	2100.90	7.04
2017-05-22	2123.30	2057.00	2298.00	1975.00	3.22
2017-05-21	2057.00	2058.90	2102.70	1988.60	-0.09
2017-05-20	2058.90	1976.20	2059.00	1970.00	4.18
2017-05-19	1976.20	1899.50	1980.00	1890.70	4.06
