Date	BITCOIN	ETHEREUM	LITECOIN
2017-07-26	2415.30	197.01	41.28
2017-07-25	2563.40	203.79	43.46
2017-07-24	2762.30	225.76	42.89
2017-07-23	2754.30	228.34	44.40
2017-07-22	2825.30	230.69	43.96
2017-07-21	2665.90	217.00	42.43
2017-07-20	2849.00	226.35	39.70
2017-07-19	2257.90	194.14	42.28
2017-07-18	2308.00	227.00	41.00
2017-07-17	2229.50	190.73	40.19
2017-07-16	1910.90	155.47	38.14
2017-07-15	1969.10	168.42	41.47
2017-07-14	2217.00	197.23	44.25
2017-07-13	2337.50	204.99	46.33
2017-07-12	2386.20	224.81	43.52
2017-07-11	2310.20	190.61	44.64
2017-07-10	2333.10	204.56	47.90
2017-07-09	2509.00	237.67	50.23
2017-07-08	2560.10	246.68	45.60
2017-07-07	2501.30	241.19	49.80
2017-07-06	2604.40	266.01	50.68
2017-07-05	2616.50	265.98	52.77
2017-07-04	2607.00	269.00	44.15
2017-07-03	2542.40	276.37	39.90
2017-07-02	2513.30	284.46	37.25
2017-07-01	2420.20	262.52	38.58
2017-06-30	2457.50	280.73	39.40
2017-06-29	2536.50	292.98	41.05
2017-06-28	2553.00	315.32	39.20
2017-06-27	2569.10	287.24	38.09
2017-06-26	2411.30	251.64	41.00
2017-06-25	2500.00	278.40	42.48
2017-06-24	2575.00	304.92	44.80
2017-06-23	2690.80	326.96	45.92
2017-06-22	2679.90	320.02	43.93
2017-06-21	2643.30	326.73	44.61
2017-06-20	2725.10	350.89	46.22
2017-06-19	2597.00	358.71	43.06
2017-06-18	2512.90	351.38	44.86
2017-06-17	2643.00	368.99	33.86
2017-06-16	2486.00	354.26	29.42
2017-06-15	2409.90	343.73	29.36
2017-06-14	2433.90	341.70	29.88
2017-06-13	2708.80	387.99	28.50
2017-06-12	2655.00	397.18	32.32
2017-06-11	2999.00	343.03	28.72
2017-06-10	2931.10	341.61	28.58
2017-06-09	2811.40	279.39	29.02
2017-06-08	2799.70	258.64	28.00
2017-06-07	2685.60	255.99	28.94
2017-06-06	2871.30	264.69	29.95
2017-06-05	2698.00	247.98	27.30
2017-06-04	2521.40	245.45	26.50
2017-06-03	2548.10	224.95	27.28
2017-06-02	2479.00	221.91	26.44
2017-06-01	2420.00	222.03	24.94
2017-05-31	2303.30	228.47	23.68
2017-05-30	2191.60	228.59	24.60
2017-05-29	2279.50	194.91	22.93
2017-05-28	2232.80	175.53	21.74
2017-05-27	2100.00	159.77	24.25
2017-05-26	2272.70	163.81	26.58
2017-05-25	2355.00	180.87	33.50
2017-05-24	2433.00	193.03	30.26
